metric,kind,target,available,n_features,n,mae,rmse,r2,bias,gain,gain_se,gain_t,material,rank
def_explosiveness,raw,residual_margin,True,1,5778,12.228146659987374,15.460549566108988,-0.0006978080176254231,-0.006040530077184247,-0.0038043270001820546,0.0015888977856362676,-2.3943182718066582,False,13.0
adj_off_epa,adjusted,residual_margin,True,1,5778,12.228465247842848,15.461824612334214,-0.0008628718235497157,-0.0058233699767468285,-0.00412291485565628,0.00209475803822627,-1.9682057690764827,False,14.0
off_epa,raw,residual_margin,True,1,5778,12.228480158755668,15.461166907253194,-0.0007777255213350376,-0.005795812891104224,-0.004137825768474753,0.0020394692397178384,-2.028873830451703,False,15.0
adj_success_rate,adjusted,residual_margin,True,1,5778,12.228632948322831,15.461958502442613,-0.0008802056404781933,-0.006442079780760915,-0.004290615335638019,0.0018421643684918957,-2.329116450748947,False,16.0
adj_def_pace,adjusted,residual_margin,True,1,5778,12.228680990572895,15.461964791055573,-0.0008810197869542069,-0.0061019252148451384,-0.004338657585702367,0.004091551776906462,-1.0603941541667932,False,17.0
finishing_drives,raw,residual_margin,True,1,5778,12.228771762221786,15.461184956612986,-0.0007800621376967687,-0.005337425810047067,-0.004429429234594461,0.0015303564559511092,-2.894377461780035,False,18.0
adj_def_explosiveness,adjusted,residual_margin,True,1,5778,12.228993879621674,15.461455051291571,-0.0008150281161760642,-0.006317991190438151,-0.004651546634480481,0.0015917749197660181,-2.922238927576665,False,19.0
adj_finishing_drives,adjusted,residual_margin,True,1,5778,12.229054462549117,15.461941504726255,-0.000878005056575315,-0.005323421246895448,-0.004712129561925096,0.0017997597533745788,-2.6181992085831323,False,20.0
adj_havoc_allowed,adjusted,residual_margin,True,1,5778,12.231749470943534,15.460131817511199,-0.0006437304498729812,-0.006630565303096416,-0.00740713795633846,0.0030951980859967704,-2.39310627318157,False,21.0
success_rate,raw,residual_total,True,1,5778,12.71392437409447,16.037199635066038,7.38854749683382e-05,-0.002612888850834095,-0.009052446091698786,0.009426625351517497,-0.9603061280293191,False,1.0
off_epa,raw,residual_total,True,1,5778,12.714816835334595,16.036651319372595,0.0001422597323853525,0.0025904009125014,-0.009944907331829516,0.010065010571015592,-0.988067251560377,False,2.0
