signal_id,created_at,run_id,game_id,season,week,market,book,open_line,entry_line,entry_price,atlas_number,disagreement,direction,selection,model_version
1870056f-99b7-51e5-9329-efb5f72331d9,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860897,2026,4,margin,DraftKings,-7.500,-7.000,-105.000,-1.946,5.054,home,observed,73d507ab32ad
42e8330d-82d9-50f6-9024-9a76f94bfbcb,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401860897,2026,4,total,DraftKings,47.500,49.500,-112.000,45.801,-3.699,under,observed,64a8b2aa5365
b08492b1-c893-567d-9bce-98da75f2b8b0,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401861970,2026,4,margin,DraftKings,3.000,3.500,-110.000,2.778,-0.722,away,observed,73d507ab32ad
a3bb86de-a282-5047-8068-5a8ade306110,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401861970,2026,4,total,DraftKings,50.500,51.500,-110.000,52.747,1.247,over,observed,64a8b2aa5365
7773e6e6-3a2a-5c8c-b041-39ce98a96e77,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862778,2026,4,margin,DraftKings,-11.500,-7.000,-110.000,-6.736,0.264,home,observed,73d507ab32ad
73352a86-407c-58f0-8f39-f827053e7897,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862778,2026,4,total,DraftKings,53.500,51.500,-108.000,55.928,4.428,over,observed,64a8b2aa5365
6fbf4c12-882c-5f4e-bcc8-b81b8e63ae75,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862779,2026,4,margin,DraftKings,-3.000,-3.000,-108.000,-0.331,2.669,home,observed,73d507ab32ad
b23c5a09-ff20-5c73-8017-e97062397da7,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862779,2026,4,total,DraftKings,49.500,48.500,-105.000,51.863,3.363,over,observed,64a8b2aa5365
3f98bce5-8c7c-5d7c-b4fb-e8ccfbe285d3,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862780,2026,4,margin,DraftKings,-14.500,-10.000,-108.000,-9.069,0.931,home,observed,73d507ab32ad
988fed4b-6e88-5356-86a9-c3bf2bbc10df,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862780,2026,4,total,DraftKings,52.500,48.500,-112.000,47.423,-1.077,under,observed,64a8b2aa5365
b0cb870f-dd0a-5ba9-ade3-327dd97c3de7,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862782,2026,4,margin,DraftKings,-13.500,-13.500,-110.000,4.227,17.727,home,observed,73d507ab32ad
6b390113-4bba-5cf2-8a65-d13207146a1d,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862782,2026,4,total,DraftKings,59.500,57.500,-112.000,59.625,2.125,over,observed,64a8b2aa5365
bf97f560-ca4d-5bec-8982-dc40ccd004ac,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862784,2026,4,margin,DraftKings,17.500,18.500,-108.000,14.486,-4.014,away,observed,73d507ab32ad
4bb48165-693b-5056-a005-4ecb5ecce038,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862784,2026,4,total,DraftKings,53.500,52.500,-112.000,55.704,3.204,over,observed,64a8b2aa5365
dd89bb85-1462-52d0-b74c-67100c361f20,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862785,2026,4,margin,DraftKings,-15.500,-17.500,-110.000,-9.843,7.657,home,observed,73d507ab32ad
f01a70f5-b82f-54a6-a905-07f2be6e9834,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401862785,2026,4,total,DraftKings,51.500,48.500,-108.000,53.899,5.399,over,observed,64a8b2aa5365
8bc1c7f2-744f-5a27-8a7d-7dbec4a9d2f2,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401864509,2026,4,margin,DraftKings,-4.500,-5.500,-112.000,-9.804,-4.304,away,observed,73d507ab32ad
c713cd0d-7105-56f3-bc20-f6cf79a64715,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401864509,2026,4,total,DraftKings,48.500,49.500,-112.000,48.849,-0.651,under,observed,64a8b2aa5365
a548a392-f2c4-5f66-8fc9-1c98aa0485e0,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401864510,2026,4,margin,DraftKings,-5.500,-3.000,-108.000,1.731,4.731,home,observed,73d507ab32ad
17541436-9e7a-5bc3-a1d7-f8ce06f4f2a0,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401864510,2026,4,total,DraftKings,44.500,44.500,-110.000,47.742,3.242,over,observed,64a8b2aa5365
9f7ade04-efb4-5075-96c2-e3e0b5645aa3,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401864511,2026,4,margin,DraftKings,8.500,10.000,-112.000,11.983,1.983,home,observed,73d507ab32ad
29622ed0-d01e-5e49-9b09-133f02503c3a,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401864511,2026,4,total,DraftKings,54.500,56.500,-105.000,55.766,-0.734,under,observed,64a8b2aa5365
b6dc21a7-0a6d-5cfb-b987-30945c386749,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401864512,2026,4,margin,DraftKings,-14.000,-13.500,-108.000,-2.745,10.755,home,observed,73d507ab32ad
a10d2d6e-7268-5422-9b58-2374764c7683,2026-09-22T17:22:01+00:00,migrated-2026-09-22,401864512,2026,4,total,DraftKings,49.500,52.500,-105.000,52.291,-0.209,under,observed,64a8b2aa5365
